team,pass_neutral,pass_lead,pass_trail,identity,plays_pg,nohuddle,shotgun,adot,deep_pct,proe,outside_run_pct,short_pass_pct,scramble_pct,success_rate,tgt_WR1,tgt_WR2,tgt_TE1,carry_RB1,rb_tgt_share,rz_pass,def_rush_pg,def_pass_pg,funnel,allow_wr1_yds,allow_rb1_yds,allow_rb1_rushTD,allow_wr1_recTD,allow_te1_recTD,allow_wr2_yds,allow_rb1_recyds,allow_te1_yds,allow_deep_pct,def_success_allowed
ARI,53.1,45.4,63.8,balanced,61.9,11.3,71.4,7.0,18.3,0.8,28.6,76.7,3.8,45.1,21.3,12.7,27.7,48.6,19.2,58.9,128.3,237.0,run-funnel,57.4,63.9,0.47,0.47,0.32,30.4,23.0,33.2,17.3,48.2
ATL,46.8,32.6,54.3,run-heavy,62.0,12.9,81.2,7.9,20.3,-7.2,31.8,76.1,1.0,45.9,25.6,16.8,18.2,65.2,19.2,46.0,124.4,228.7,run-funnel,51.8,57.5,0.32,0.47,0.12,37.3,19.4,32.8,18.6,45.5
BAL,42.2,29.6,45.8,run-heavy,59.0,4.2,67.5,8.5,21.4,-8.5,32.6,73.4,4.2,47.7,25.8,12.9,16.4,76.4,17.7,43.1,94.0,257.4,pass-funnel,73.7,37.6,0.25,0.36,0.11,38.6,21.7,31.1,20.6,41.9
BUF,46.6,38.9,48.8,run-heavy,61.7,6.3,57.5,7.9,21.7,-3.0,20.1,74.0,4.4,48.3,21.0,11.7,12.8,66.2,16.8,42.4,125.9,208.7,run-funnel,64.0,64.4,0.49,0.33,0.13,27.8,17.6,24.4,19.3,43.9
CAR,44.7,40.1,53.5,run-heavy,58.5,6.5,67.4,7.5,19.4,-3.8,20.6,76.6,3.9,42.2,20.6,12.5,8.0,63.2,18.1,54.9,151.8,228.7,run-funnel,72.7,85.1,0.63,0.54,0.26,28.5,19.2,37.6,19.4,47.8
CHI,44.7,40.1,58.0,run-heavy,64.3,14.5,61.0,8.5,22.7,-3.3,31.4,71.0,4.4,42.9,21.2,19.3,14.5,61.2,14.5,51.7,134.2,239.1,run-funnel,59.7,69.6,0.56,0.47,0.14,39.4,14.3,38.5,21.2,45.1
CIN,58.2,49.2,64.6,pass-heavy,62.3,2.8,83.0,7.2,15.6,5.0,16.9,79.8,1.7,46.4,29.1,16.9,10.2,68.0,17.2,63.6,136.7,240.9,run-funnel,52.7,64.0,0.59,0.26,0.47,22.4,15.6,45.7,18.8,46.9
CLE,47.7,45.3,62.4,balanced,63.2,12.2,72.8,7.3,17.0,-1.6,22.8,75.1,3.2,35.8,21.8,12.5,17.8,48.3,17.8,56.4,124.4,208.8,run-funnel,55.6,61.4,0.59,0.35,0.18,33.3,11.9,23.7,20.5,40.6
DAL,50.3,44.1,57.3,balanced,64.6,9.0,67.7,7.8,18.9,-1.7,20.1,77.9,1.9,43.6,23.6,15.9,15.4,62.0,13.7,57.5,132.6,251.9,run-funnel,58.4,59.5,0.62,0.59,0.26,43.4,28.8,32.1,19.0,47.1
DEN,51.0,43.3,54.6,balanced,61.7,13.5,65.3,7.3,20.3,1.0,27.8,77.4,4.2,43.1,23.1,13.4,8.7,39.9,20.8,54.1,101.5,225.9,pass-funnel,55.4,51.1,0.3,0.16,0.27,32.2,13.9,38.2,18.7,38.9
DET,46.8,42.4,58.9,balanced,63.3,5.1,48.4,6.5,16.7,-4.0,25.0,79.5,0.9,48.0,29.1,17.8,12.5,54.2,22.0,49.9,109.3,249.4,balanced-D,62.2,52.6,0.63,0.37,0.29,44.8,14.3,34.5,23.5,42.0
GB,44.3,36.3,50.1,run-heavy,59.6,8.8,69.5,8.8,23.2,-6.0,26.8,73.0,2.7,46.2,18.1,14.4,12.2,61.0,16.6,46.2,110.2,221.3,balanced-D,47.5,64.9,0.5,0.36,0.22,36.5,16.3,38.3,19.0,44.2
HOU,48.4,43.4,59.9,balanced,63.0,4.6,60.4,8.3,18.9,-0.2,22.6,75.2,3.4,40.4,19.6,13.2,16.6,57.9,14.8,51.6,100.3,210.1,balanced-D,56.8,57.7,0.37,0.42,0.34,29.9,16.0,28.3,21.9,38.5
IND,46.4,43.8,57.4,balanced,60.1,8.2,79.8,9.3,23.8,-4.8,20.0,72.9,2.4,43.2,22.0,20.5,14.1,79.8,13.9,43.7,117.6,253.1,balanced-D,68.0,65.3,0.47,0.32,0.18,37.7,15.7,41.9,18.0,44.4
JAX,48.9,43.0,60.3,balanced,60.5,9.9,65.7,8.6,21.8,-0.8,26.1,73.5,3.4,43.2,22.0,19.0,11.9,56.7,15.1,48.1,109.3,251.7,balanced-D,68.0,54.4,0.49,0.31,0.31,44.4,20.0,37.2,20.0,43.5
KC,52.3,49.9,61.0,pass-heavy,61.5,2.0,79.5,7.1,16.3,4.9,23.9,77.6,4.8,46.0,16.5,6.1,21.7,49.7,16.1,56.2,107.7,220.5,balanced-D,50.1,46.7,0.27,0.24,0.16,37.6,14.0,37.3,18.5,43.7
LA,52.9,44.5,57.5,balanced,61.7,7.9,48.3,8.6,22.7,-0.2,17.5,73.6,0.6,48.7,25.8,18.8,9.4,68.0,10.6,54.8,123.6,239.2,run-funnel,68.4,65.7,0.31,0.59,0.23,34.6,22.6,40.8,19.5,43.8
LAC,51.6,39.7,63.1,run-heavy,60.9,4.3,69.4,8.4,19.4,-0.2,24.0,72.9,4.4,42.4,23.4,18.7,12.8,47.0,12.6,50.5,114.6,211.8,balanced-D,62.2,55.4,0.33,0.42,0.25,32.4,16.8,31.4,16.5,41.5
LV,51.1,46.2,61.1,balanced,58.7,10.0,70.1,6.7,15.8,-1.3,16.2,76.4,2.1,39.1,20.4,14.4,22.1,61.2,19.0,59.0,117.8,224.5,balanced-D,55.2,57.0,0.53,0.44,0.32,35.2,13.9,34.1,18.3,44.5
